Web Search interest: dolar; colombia stock exchange; ecopetrol; precio dolar; bolsa de valores colombia
Colombia; 2004 - present

Interest over time
Week,dolar,colombia stock exchange,ecopetrol,precio dolar,bolsa de valores colombia
2006-04-16 - 2006-04-22,8,0,6,2,4
2006-04-23 - 2006-04-29,8,0,6,2,4
2006-04-30 - 2006-05-06,10,0,6,2,4
2006-05-07 - 2006-05-13,8,0,8,2,3
2006-05-14 - 2006-05-20,14,0,7,2,5
2006-05-21 - 2006-05-27,9,0,9,2,4
2006-05-28 - 2006-06-03,12,0,6,2,3
2006-06-04 - 2006-06-10,11,0,4,2,3
2006-06-11 - 2006-06-17,12,0,6,2,8
2006-06-18 - 2006-06-24,11,0,6,3,5
2006-06-25 - 2006-07-01,10,0,9,4,3
2006-07-02 - 2006-07-08,14,0,5,5,3
2006-07-09 - 2006-07-15,11,0,6,4,3
2006-07-16 - 2006-07-22,13,0,6,4,3
2006-07-23 - 2006-07-29,10,0,10,3,3
2006-07-30 - 2006-08-05,11,0,10,3,3
2006-08-06 - 2006-08-12,12,0,8,4,3
2006-08-13 - 2006-08-19,11,0,12,2,3
2006-08-20 - 2006-08-26,11,0,9,2,4
2006-08-27 - 2006-09-02,9,0,9,2,4
2006-09-03 - 2006-09-09,11,0,7,3,2
2006-09-10 - 2006-09-16,10,0,7,2,4
2006-09-17 - 2006-09-23,11,0,9,2,4
2006-09-24 - 2006-09-30,9,0,6,2,2
2006-10-01 - 2006-10-07,7,0,7,2,2
2006-10-08 - 2006-10-14,8,0,6,2,2
2006-10-15 - 2006-10-21,10,0,7,2,2
2006-10-22 - 2006-10-28,10,0,7,2,3
2006-10-29 - 2006-11-04,8,0,5,2,3
2006-11-05 - 2006-11-11,10,0,9,2,3
2006-11-12 - 2006-11-18,11,0,9,2,4
2006-11-19 - 2006-11-25,11,0,7,2,3
2006-11-26 - 2006-12-02,11,0,6,3,3
2006-12-03 - 2006-12-09,9,0,5,3,3
2006-12-10 - 2006-12-16,13,0,6,2,2
2006-12-17 - 2006-12-23,14,0,4,3,2
2006-12-24 - 2006-12-30,10,0,4,3,2
2006-12-31 - 2007-01-06,11,0,6,3,3
2007-01-07 - 2007-01-13,12,0,6,2,2
2007-01-14 - 2007-01-20,11,0,6,2,3
2007-01-21 - 2007-01-27,10,0,7,3,2
2007-01-28 - 2007-02-03,10,0,5,2,2
2007-02-04 - 2007-02-10,12,0,5,3,4
2007-02-11 - 2007-02-17,9,0,5,2,2
2007-02-18 - 2007-02-24,9,0,5,2,2
2007-02-25 - 2007-03-03,9,0,7,2,3
2007-03-04 - 2007-03-10,10,0,6,2,2
2007-03-11 - 2007-03-17,9,0,6,2,3
2007-03-18 - 2007-03-24,12,0,5,3,2
2007-03-25 - 2007-03-31,10,0,6,3,3
2007-04-01 - 2007-04-07,10,0,4,2,2
2007-04-08 - 2007-04-14,10,0,5,2,3
2007-04-15 - 2007-04-21,11,0,7,2,2
2007-04-22 - 2007-04-28,10,0,7,3,1
2007-04-29 - 2007-05-05,13,0,6,3,3
2007-05-06 - 2007-05-12,15,0,7,3,3
2007-05-13 - 2007-05-19,21,0,5,4,3
2007-05-20 - 2007-05-26,21,0,7,4,3
2007-05-27 - 2007-06-02,22,0,6,4,2
2007-06-03 - 2007-06-09,22,0,6,5,3
2007-06-10 - 2007-06-16,20,0,4,5,2
2007-06-17 - 2007-06-23,18,0,6,5,1
2007-06-24 - 2007-06-30,15,0,4,4,3
2007-07-01 - 2007-07-07,14,0,5,5,2
2007-07-08 - 2007-07-14,15,0,5,4,1
2007-07-15 - 2007-07-21,13,0,7,4,2
2007-07-22 - 2007-07-28,17,0,11,3,2
2007-07-29 - 2007-08-04,15,0,10,3,2
2007-08-05 - 2007-08-11,16,0,10,4,3
2007-08-12 - 2007-08-18,17,0,28,4,4
2007-08-19 - 2007-08-25,16,0,39,4,2
2007-08-26 - 2007-09-01,15,0,88,3,3
2007-09-02 - 2007-09-08,15,0,42,3,3
2007-09-09 - 2007-09-15,14,0,31,3,2
2007-09-16 - 2007-09-22,16,0,38,4,2
2007-09-23 - 2007-09-29,16,0,57,4,3
2007-09-30 - 2007-10-06,16,0,12,3,3
2007-10-07 - 2007-10-13,13,0,13,3,2
2007-10-14 - 2007-10-20,12,0,13,3,2
2007-10-21 - 2007-10-27,14,0,14,4,2
2007-10-28 - 2007-11-03,12,0,13,3,2
2007-11-04 - 2007-11-10,11,0,17,2,3
2007-11-11 - 2007-11-17,13,0,22,3,1
2007-11-18 - 2007-11-24,13,0,52,3,1
2007-11-25 - 2007-12-01,13,0,69,3,4
2007-12-02 - 2007-12-08,12,0,73,3,3
2007-12-09 - 2007-12-15,14,0,100,4,3
2007-12-16 - 2007-12-22,12,0,54,3,2
2007-12-23 - 2007-12-29,10,0,19,2,2
2007-12-30 - 2008-01-05,11,0,19,2,2
2008-01-06 - 2008-01-12,13,0,29,3,1
2008-01-13 - 2008-01-19,15,0,40,4,3
2008-01-20 - 2008-01-26,14,0,19,3,5
2008-01-27 - 2008-02-02,13,0,13,3,3
2008-02-03 - 2008-02-09,12,0,14,3,3
2008-02-10 - 2008-02-16,12,0,17,3,2
2008-02-17 - 2008-02-23,12,0,19,2,3
2008-02-24 - 2008-03-01,12,0,16,3,3
2008-03-02 - 2008-03-08,14,0,14,3,2
2008-03-09 - 2008-03-15,14,0,19,4,3
2008-03-16 - 2008-03-22,11,0,21,3,2
2008-03-23 - 2008-03-29,12,0,31,3,2
2008-03-30 - 2008-04-05,14,0,20,3,2
2008-04-06 - 2008-04-12,14,0,20,3,3
2008-04-13 - 2008-04-19,14,0,23,3,3
2008-04-20 - 2008-04-26,14,0,20,3,3
2008-04-27 - 2008-05-03,14,0,20,3,3
2008-05-04 - 2008-05-10,14,0,21,3,3
2008-05-11 - 2008-05-17,14,0,21,2,3
2008-05-18 - 2008-05-24,12,0,20,3,2
2008-05-25 - 2008-05-31,12,0,15,2,3
2008-06-01 - 2008-06-07,12,0,14,2,2
2008-06-08 - 2008-06-14,16,0,15,4,2
2008-06-15 - 2008-06-21,21,0,17,3,2
2008-06-22 - 2008-06-28,24,0,13,6,3
2008-06-29 - 2008-07-05,27,0,13,7,3
2008-07-06 - 2008-07-12,23,0,16,6,2
2008-07-13 - 2008-07-19,17,0,20,4,2
2008-07-20 - 2008-07-26,14,0,18,2,2
2008-07-27 - 2008-08-02,15,0,15,4,2
2008-08-03 - 2008-08-09,15,0,10,4,3
2008-08-10 - 2008-08-16,14,0,13,3,2
2008-08-17 - 2008-08-23,13,0,11,2,2
2008-08-24 - 2008-08-30,14,0,13,3,2
2008-08-31 - 2008-09-06,19,0,12,5,3
2008-09-07 - 2008-09-13,17,0,11,3,3
2008-09-14 - 2008-09-20,20,0,18,4,3
2008-09-21 - 2008-09-27,19,0,12,4,3
2008-09-28 - 2008-10-04,20,0,14,5,3
2008-10-05 - 2008-10-11,20,0,13,4,4
2008-10-12 - 2008-10-18,16,0,11,4,3
2008-10-19 - 2008-10-25,17,0,12,3,2
2008-10-26 - 2008-11-01,20,0,13,4,3
2008-11-02 - 2008-11-08,16,0,11,4,3
2008-11-09 - 2008-11-15,18,0,11,3,2
2008-11-16 - 2008-11-22,13,0,10,3,1
2008-11-23 - 2008-11-29,14,0,10,3,2
2008-11-30 - 2008-12-06,16,0,12,4,2
2008-12-07 - 2008-12-13,13,0,13,3,2
2008-12-14 - 2008-12-20,17,0,15,4,2
2008-12-21 - 2008-12-27,14,0,12,4,1
2008-12-28 - 2009-01-03,16,0,7,3,1
2009-01-04 - 2009-01-10,19,0,13,4,1
2009-01-11 - 2009-01-17,15,0,12,3,1
2009-01-18 - 2009-01-24,15,0,12,4,2
2009-01-25 - 2009-01-31,15,0,10,3,2
2009-02-01 - 2009-02-07,16,0,11,3,2
2009-02-08 - 2009-02-14,18,0,10,3,2
2009-02-15 - 2009-02-21,16,0,12,4,2
2009-02-22 - 2009-02-28,15,0,11,3,2
2009-03-01 - 2009-03-07,15,0,10,3,2
2009-03-08 - 2009-03-14,15,0,10,4,2
2009-03-15 - 2009-03-21,16,0,10,4,2
2009-03-22 - 2009-03-28,15,0,13,3,2
2009-03-29 - 2009-04-04,19,0,9,5,2
2009-04-05 - 2009-04-11,13,0,8,3,1
2009-04-12 - 2009-04-18,17,0,10,4,3
2009-04-19 - 2009-04-25,14,0,9,4,2
2009-04-26 - 2009-05-02,14,0,9,3,2
2009-05-03 - 2009-05-09,17,0,8,4,3
