Interés en Búsqueda en la Web: dolar; ecopetrol; bolsa de valores colombia; bvc; precio dolar
Colombia; Últimos 12 meses;;;
;;;;
Interés a lo largo del tiempo;;;;
Quindío,100,32,0,0,0;;;;
Atlántico,65,27,40,31,48;;;;
Cauca,87,26,0,0,100;;;;
Antioquia,87,25,100,100,78;;;;
Risaralda,80,25,0,0,88;;;;
Valle del Cauca,85,23,53,40,73;;;;
Amazonas,0,0,0,0,0;;;;
Arauca,0,0,0,0,0;;;;
Caquetá,0,0,0,0,0;;;;
César,55,0,0,0,0;;;;
Chocó,0,0,0,0,0;;;;
Guainía,0,0,0,0,0;;;;
Guaviare,0,0,0,0,0;;;;
La Guajira,0,0,0,0,0;;;;
Putumayo,0,0,0,0,0;;;;
Archipiélago de San Andrés,0,0,0,0,0;;;;
Sucre,0,0,0,0,0;;;;
Vaupés,0,0,0,0,0;;;;
Departamento del Vichada,0,0,0,0,0;;;;
;;;;
Las mejores subregiones para bolsa de valores colombia;;;;
Subregión,dolar,ecopetrol,bolsa de valores colombia,bvc,precio dolar;;;;
Antioquia,87,25,100,100,78;;;;
Cundinamarca,90,51,93,86,72;;;;
Bogotá,99,56,91,84,80;;;;
Santander,73,89,58,49,67;;;;
Valle del Cauca,85,23,53,40,73;;;;
Atlántico,65,27,40,31,48;;;;
Amazonas,0,0,0,0,0;;;;
Arauca,0,0,0,0,0;;;;
Bolívar,60,73,0,0,33;;;;
Boyacá,79,70,0,0,0;;;;
Caldas,88,36,0,0,88;;;;
Caquetá,0,0,0,0,0;;;;
Casanare,0,100,0,0,0;;;;
Cauca,87,26,0,0,100;;;;
César,55,0,0,0,0;;;;
Chocó,0,0,0,0,0;;;;
Córdoba,39,32,0,0,0;;;;
Guainía,0,0,0,0,0;;;;
Guaviare,0,0,0,0,0;;;;
Huila,92,86,0,0,0;;;;
La Guajira,0,0,0,0,0;;;;
Magdalena,63,35,0,0,50;;;;
Meta,80,94,0,0,79;;;;
Nariño,57,36,0,0,0;;;;
Norte de Santander,69,63,0,0,56;;;;
Putumayo,0,0,0,0,0;;;;
Quindío,100,32,0,0,0;;;;
Risaralda,80,25,0,0,88;;;;
Archipiélago de San Andrés,0,0,0,0,0;;;;
Sucre,0,0,0,0,0;;;;
Tolima,59,32,0,0,68;;;;
Vaupés,0,0,0,0,0;;;;
Departamento del Vichada,0,0,0,0,0;;;;
;;;;
Las mejores subregiones para bvc;;;;
Subregión,dolar,ecopetrol,bolsa de valores colombia,bvc,precio dolar;;;;
Antioquia,87,25,100,100,78;;;;
Cundinamarca,90,51,93,86,72;;;;
Bogotá,99,56,91,84,80;;;;
Santander,73,89,58,49,67;;;;
Valle del Cauca,85,23,53,40,73;;;;
Atlántico,65,27,40,31,48;;;;
Amazonas,0,0,0,0,0;;;;
Arauca,0,0,0,0,0;;;;
Bolívar,60,73,0,0,33;;;;
Boyacá,79,70,0,0,0;;;;
Caldas,88,36,0,0,88;;;;
Caquetá,0,0,0,0,0;;;;
Casanare,0,100,0,0,0;;;;
Cauca,87,26,0,0,100;;;;
César,55,0,0,0,0;;;;
Chocó,0,0,0,0,0;;;;
Córdoba,39,32,0,0,0;;;;
Guainía,0,0,0,0,0;;;;
Guaviare,0,0,0,0,0;;;;
Huila,92,86,0,0,0;;;;
La Guajira,0,0,0,0,0;;;;
Magdalena,63,35,0,0,50;;;;
Meta,80,94,0,0,79;;;;
Nariño,57,36,0,0,0;;;;
Norte de Santander,69,63,0,0,56;;;;
Putumayo,0,0,0,0,0;;;;
Quindío,100,32,0,0,0;;;;
Risaralda,80,25,0,0,88;;;;
Archipiélago de San Andrés,0,0,0,0,0;;;;
Sucre,0,0,0,0,0;;;;
Tolima,59,32,0,0,68;;;;
Vaupés,0,0,0,0,0;;;;
Departamento del Vichada,0,0,0,0,0;;;;
;;;;
Las mejores subregiones para precio dolar;;;;
Subregión,dolar,ecopetrol,bolsa de valores colombia,bvc,precio dolar;;;;
Cauca,87,26,0,0,100;;;;
Caldas,88,36,0,0,88;;;;
Risaralda,80,25,0,0,88;;;;
Bogotá,99,56,91,84,80;;;;
Meta,80,94,0,0,79;;;;
Antioquia,87,25,100,100,78;;;;
Valle del Cauca,85,23,53,40,73;;;;
Cundinamarca,90,51,93,86,72;;;;
Tolima,59,32,0,0,68;;;;
